Date,Close_Price
1950-01-09,17.079999923706055
1950-01-16,16.719999313354492
1950-01-23,16.920000076293945
1950-01-30,17.020000457763672
1950-02-06,17.31999969482422
1950-02-13,17.239999771118164
1950-02-20,17.200000762939453
1950-02-27,17.280000686645508
1950-03-06,17.31999969482422
1950-03-13,17.1200008392334
1950-03-20,17.440000534057617
1950-03-27,17.459999084472656
1950-04-03,17.530000686645508
1950-04-10,17.850000381469727
1950-04-17,17.8799991607666
1950-04-24,17.829999923706055
1950-05-01,18.219999313354492
1950-05-08,18.270000457763672
1950-05-15,18.260000228881836
1950-05-22,18.600000381469727
1950-05-29,18.719999313354492
1950-06-05,18.600000381469727
1950-06-12,19.399999618530273
1950-06-19,18.920000076293945
1950-06-26,18.110000610351562
1950-07-03,17.639999389648438
1950-07-10,17.59000015258789
1950-07-17,16.68000030517578
1950-07-24,17.479999542236328
1950-07-31,17.84000015258789
1950-08-07,18.40999984741211
1950-08-14,18.290000915527344
1950-08-21,18.700000762939453
1950-08-28,18.530000686645508
1950-09-04,18.549999237060547
1950-09-11,18.610000610351562
1950-09-18,19.3700008392334
1950-09-25,19.420000076293945
1950-10-02,19.690000534057617
1950-10-09,20.0
1950-10-16,19.709999084472656
1950-10-23,19.959999084472656
1950-10-30,19.610000610351562
1950-11-06,19.360000610351562
1950-11-13,20.010000228881836
1950-11-20,19.93000030517578
1950-11-27,20.18000030517578
1950-12-04,19.0
1950-12-11,19.719999313354492
1950-12-18,19.850000381469727
1950-12-25,20.06999969482422
1951-01-01,20.43000030517578
1951-01-08,21.0
1951-01-15,21.299999237060547
1951-01-22,21.18000030517578
1951-01-29,21.670000076293945
1951-02-05,22.200000762939453
1951-02-12,22.170000076293945
1951-02-19,21.829999923706055
1951-02-26,21.93000030517578
1951-03-05,21.790000915527344
1951-03-12,21.700000762939453
1951-03-19,21.559999465942383
1951-03-26,21.530000686645508
1951-04-02,21.31999969482422
1951-04-09,21.68000030517578
1951-04-16,22.040000915527344
1951-04-23,22.049999237060547
1951-04-30,22.43000030517578
1951-05-07,22.6299991607666
1951-05-14,22.18000030517578
1951-05-21,21.459999084472656
