 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG,  Lun_Sky_Brt, sky_SNR,
***************************************************************************************************************************************************************************************
$$SOE
 1900-May-07 00:00, , , 04 10 40.77, +18 04 34.4,    8.430,  4.936,  3.52048702970382,  6.9894689,   16.9725,/T,    6.5801,   1.0747631,  76.224262,  8.6834616,         n.a.,    n.a.,
 1900-May-14 00:00, , , 04 23 04.88, +18 44 11.4,    8.391,  4.881,  3.54570308041270,  5.4860528,   13.2740,/T,    5.1793,   1.0786605,  77.432924,  6.7619953,         n.a.,    n.a.,
 1900-May-21 00:00, , , 04 35 37.64, +19 20 06.2,    8.343,  4.818,  3.56484339759143,  3.9796463,    9.6402,/T,    3.7810,   1.0817929,  78.667457,  4.8740893,         n.a.,    n.a.,
 1900-May-28 00:00, , , 04 48 18.09, +19 52 10.5,    8.282,  4.746,  3.57783723626051,  2.4429954,    6.1245,/T,    2.4118,   1.0839529,  79.924883,  2.9775826,         n.a.,    n.a.,
 1900-Jun-04 00:00, , , 05 01 04.76, +20 20 17.1,    8.212,  4.668,  3.58458563051135,  0.8980088,    3.0703,/T,    1.2125,   1.0844391,  81.194284,  1.0892781,         n.a.,    n.a.,
 1900-Jun-11 00:00, , , 05 13 55.95, +20 44 21.0,    8.207,  4.658,  3.58512995844126, -0.6245438,    2.8802,/L,    1.1360,   1.0837183,  82.472833,  -0.767498,         n.a.,    n.a.,
 1900-Jun-18 00:00, , , 05 26 50.40, +21 04 19.2,    8.276,  4.725,  3.57955821700068, -2.1320507,    5.8190,/L,    2.2950,   1.0824230,  83.761336,  -2.611996,         n.a.,    n.a.,
 1900-Jun-25 00:00, , , 05 39 46.98, +21 20 09.9,    8.337,  4.788,  3.56786762391771, -3.6540314,    9.2795,/L,    3.6555,   1.0802949,  85.053618,  -4.489925,         n.a.,    n.a.,
 1900-Jul-02 00:00, , , 05 52 44.01, +21 31 53.4,    8.386,  4.842,  3.55002127138315, -5.1698985,   12.8526,/L,    5.0496,   1.0765493,  86.337406,  -6.390783,         n.a.,    n.a.,
 1900-Jul-09 00:00, , , 06 05 39.63, +21 39 32.6,    8.425,  4.889,  3.52611658118581, -6.6490671,   16.4725,/L,    6.4454,   1.0715026,  87.608234,  -8.288560,         n.a.,    n.a.,
 1900-Jul-16 00:00, , , 06 18 32.37, +21 43 11.9,    8.456,  4.931,  3.49630439836042, -8.0967360,   20.1254,/L,    7.8317,   1.0657469,  88.864848,  -10.19584,         n.a.,    n.a.,
 1900-Jul-23 00:00, , , 06 31 20.96, +21 42 57.5,    8.479,  4.968,  3.46064567151330, -9.5439382,   23.8130,/L,    9.2031,   1.0589717,  90.098783,  -12.16315,         n.a.,    n.a.,
 1900-Jul-30 00:00, , , 06 44 03.59, +21 38 58.2,    8.495,  5.002,  3.41916470236282,-10.9698413,   27.5388,/L,   10.5534,   1.0502675,  91.296942,  -14.18722,         n.a.,    n.a.,
 1900-Aug-06 00:00, , , 06 56 38.26, +21 31 25.8,    8.504,  5.033,  3.37202005435890,-12.3432252,   31.3049,/L,   11.8761,   1.0398018,  92.454118,  -16.24163,         n.a.,    n.a.,
 1900-Aug-13 00:00, , , 07 09 03.34, +21 20 33.4,    8.507,  5.062,  3.31943355805722,-13.6659300,   35.1162,/L,   13.1662,   1.0281042,  93.567758,  -18.33286,         n.a.,    n.a.,
 1900-Aug-20 00:00, , , 07 21 17.46, +21 06 35.6,    8.503,  5.089,  3.26154425091522,-14.9692140,   38.9828,/L,   14.4196,   1.0147902,  94.627106,  -20.51733,         n.a.,    n.a.,
 1900-Aug-27 00:00, , , 07 33 18.66, +20 49 50.9,    8.493,  5.114,  3.19845563432472,-16.2306925,   42.9142,/L,   15.6293,   0.9987492,  95.617657,  -22.80197,         n.a.,    n.a.,
 1900-Sep-03 00:00, , , 07 45 04.72, +20 30 40.8,    8.476,  5.136,  3.13041240199013,-17.4170795,   46.9161,/L,   16.7870,   0.9799722,  96.532965,  -25.16206,         n.a.,    n.a.,
 1900-Sep-10 00:00, , , 07 56 33.74, +20 09 28.0,    8.452,  5.157,  3.05773624459906,-18.5258999,   50.9953,/L,   17.8851,   0.9588804,  97.368042,  -27.59952,         n.a.,    n.a.,
 1900-Sep-17 00:00, , , 08 07 44.02, +19 46 36.9,    8.421,  5.175,  2.98067993765157,-19.5865792,   55.1639,/L,   18.9164,   0.9349534,  98.106728,  -30.17775,         n.a.,    n.a.,
