Date,Close_Price,Vesta_Declination_Deg
1950-01-09,17.079999923706055,-19.568666666666665
1950-01-16,16.719999313354492,-18.58147222222222
1950-01-23,16.920000076293945,-17.53777777777778
1950-01-30,17.020000457763672,-16.44461111111111
1950-02-06,17.31999969482422,-15.308722222222222
1950-02-13,17.239999771118164,-14.136249999999999
1950-02-20,17.200000762939453,-12.93375
1950-02-27,17.280000686645508,-11.708583333333333
1950-03-06,17.31999969482422,-10.467555555555556
1950-03-13,17.1200008392334,-9.216555555555555
1950-03-20,17.440000534057617,-7.961805555555555
1950-03-27,17.459999084472656,-6.710194444444444
1950-04-03,17.530000686645508,-5.468083333333333
1950-04-10,17.850000381469727,-4.240611111111111
1950-04-17,17.8799991607666,-3.0332777777777777
1950-04-24,17.829999923706055,-1.8523055555555556
1950-05-01,18.219999313354492,-0.7033055555555555
1950-05-08,18.270000457763672,0.4093055555555556
1950-05-15,18.260000228881836,1.4808611111111112
1950-05-22,18.600000381469727,2.505888888888889
1950-05-29,18.719999313354492,3.4795833333333333
1950-06-05,18.600000381469727,4.398361111111112
1950-06-12,19.399999618530273,5.258305555555555
1950-06-19,18.920000076293945,6.054777777777778
1950-06-26,18.110000610351562,6.783888888888889
1950-07-03,17.639999389648438,7.442972222222222
1950-07-10,17.59000015258789,8.029111111111112
1950-07-17,16.68000030517578,8.538638888888888
1950-07-24,17.479999542236328,8.968833333333334
1950-07-31,17.84000015258789,9.318333333333333
1950-08-07,18.40999984741211,9.585444444444445
1950-08-14,18.290000915527344,9.768055555555556
1950-08-21,18.700000762939453,9.86525
1950-08-28,18.530000686645508,9.878
1950-09-04,18.549999237060547,9.807166666666667
1950-09-11,18.610000610351562,9.654027777777777
1950-09-18,19.3700008392334,9.422583333333332
1950-09-25,19.420000076293945,9.120333333333333
1950-10-02,19.690000534057617,8.756638888888888
1950-10-09,20.0,8.343916666666667
1950-10-16,19.709999084472656,7.900638888888889
1950-10-23,19.959999084472656,7.451083333333334
1950-10-30,19.610000610351562,7.0216666666666665
1950-11-06,19.360000610351562,6.640305555555555
1950-11-13,20.010000228881836,6.33575
1950-11-20,19.93000030517578,6.133611111111112
1950-11-27,20.18000030517578,6.0505555555555555
1950-12-04,19.0,6.095111111111111
1950-12-11,19.719999313354492,6.269777777777778
1950-12-18,19.850000381469727,6.5706388888888885
